,alumnus,organisation,place,country
3195,Louise Berglund,Örebro University,Örebro Municipality,Sweden
3196,Jens Schollin,Örebro University,Örebro Municipality,Sweden
3197,Sten Wistrand,Örebro University,Örebro Municipality,Sweden
3198,Richard Tellström,Örebro University,Örebro Municipality,Sweden
3199,Nikolaus Koutakis,Örebro University,Örebro Municipality,Sweden
3200,Anders Flodin,Örebro University,Örebro Municipality,Sweden
3201,Moira von Wright,Örebro University,Örebro Municipality,Sweden
3202,Gunnela Björk,Örebro University,Örebro Municipality,Sweden
3203,Kjell Kallenberg,Örebro University,Örebro Municipality,Sweden
3204,Berth Danermark,Örebro University,Örebro Municipality,Sweden
3205,Brigitte Mral,Örebro University,Örebro Municipality,Sweden
3206,Anna G. Jónasdóttir,Örebro University,Örebro Municipality,Sweden
3207,Christian Lundahl,Örebro University,Örebro Municipality,Sweden
3208,Marie-Louise Danielsson-Tham,Örebro University,Örebro Municipality,Sweden
3209,Maria Åström,Örebro University,Örebro Municipality,Sweden
3210,Christoffer Åberg,University Medical Center Groningen,Groningen,Netherlands
3211,Lício Velloso,University of Campinas,Campinas,Brazil
3212,Abbas Anvari,Sharif University of Technology,Tehran,Iran
3213,James Verne Dusenberry,University of Montana,Missoula,United States of America
3214,Fredrik Dalerum,University of Oviedo,Oviedo,Spain
3215,Alexander Nyström,Thomas Jefferson University,Philadelphia,United States of America
3216,Peter Hansbo,Jönköping University,Jönköping Municipality,Sweden
3217,Eva Blomqvist,Jönköping University,Jönköping Municipality,Sweden
3218,Anita Hansbo,Jönköping University,Jönköping Municipality,Sweden
3219,Helene Ahl,Jönköping University,Jönköping Municipality,Sweden
3220,Per Askerlund,Jönköping University,Jönköping Municipality,Sweden
3221,Katarina Norén,Swedish Maritime Administration,Norrköping,Sweden
3222,Axel Lekander,Royal Swedish Academy of Agriculture and Forestry,Stockholm Municipality,Sweden
3223,Marcia Marques,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil
3224,Aksel Andersson,Uppsala University Library,Uppsala,Sweden
3225,Matthias Asp,Uppsala University Library,Uppsala,Sweden
3226,Staffan Roos,British Trust for Ornithology,Thetford,United Kingdom
3227,Staffan Roos,British Trust for Ornithology,Thetford,United Kingdom
3228,Gerard Pokruszyński,Chancellery of the Prime Minister of Poland,Śródmieście,Poland
3229,Ali Abkar,Imam Khomeini International University,Qazvin,Iran
3230,Da-Neng Wang,New York University School of Medicine,New York City,United States of America
3231,Johan Eriksson,Södertörn University,Huddinge Municipality,Sweden
3232,Carl-Olof Cederlund,Södertörn University,Huddinge Municipality,Sweden
3233,Karl-Olov Arnstberg,Södertörn University,Huddinge Municipality,Sweden
3234,Victoria Kawesa,Södertörn University,Huddinge Municipality,Sweden
3235,Moira von Wright,Södertörn University,Huddinge Municipality,Sweden
3236,Leif Runefelt,Södertörn University,Huddinge Municipality,Sweden
3237,Per Carlson,Södertörn University,Huddinge Municipality,Sweden
3238,Johan Rönnby,Södertörn University,Huddinge Municipality,Sweden
3239,Andrej Kotljarchuk,Södertörn University,Huddinge Municipality,Sweden
3240,Sara Danius,Södertörn University,Huddinge Municipality,Sweden
3241,Ingela Josefson,Södertörn University,Huddinge Municipality,Sweden
3242,Marie Demker,Södertörn University,Huddinge Municipality,Sweden
3243,Tobias Hübinette,Södertörn University,Huddinge Municipality,Sweden
3244,Aris Fioretos,Södertörn University,Huddinge Municipality,Sweden
3245,Yvonne Hirdman,Södertörn University,Huddinge Municipality,Sweden
3246,Ebba Witt-Brattström,Södertörn University,Huddinge Municipality,Sweden
3247,Tobias Hübinette,Södertörn University,Huddinge Municipality,Sweden
3248,Lars Brudin,Kalmar County Council,Kalmar County,Sweden
3249,Hanna Woksepp,Kalmar County Council,Kalmar County,Sweden
3250,Joakim Henricson,Östergötland County Council,Östergötland County,Sweden
3251,Anders Vikström,Östergötland County Council,Östergötland County,Sweden
3252,Johan Fernström,Skåne Regional Council,Skåne County,Sweden
3253,David Gisselsson,Skåne Regional Council,Skåne County,Sweden
3254,Anders Hakansson,Skåne Regional Council,Skåne County,Sweden
3255,Per Johansson,Skåne Regional Council,Skåne County,Sweden
3256,Stefan Acosta,Skåne Regional Council,Skåne County,Sweden
3257,Aniko Bartfai,Stockholm County Council,Stockholm County,Sweden
3258,Aniko Bartfai,Stockholm County Council,Stockholms sjukvårdsregion,Sweden
3259,Per Tynelius,Stockholm County Council,Stockholm County,Sweden
3260,Per Tynelius,Stockholm County Council,Stockholms sjukvårdsregion,Sweden
3261,Erland Axelsson,Stockholm County Council,Stockholm County,Sweden
3262,Erland Axelsson,Stockholm County Council,Stockholms sjukvårdsregion,Sweden
3263,Lena Sharp,Stockholm County Council,Stockholm County,Sweden
3264,Lena Sharp,Stockholm County Council,Stockholms sjukvårdsregion,Sweden
3265,Kersti Ejeby,Stockholm County Council,Stockholm County,Sweden
3266,Kersti Ejeby,Stockholm County Council,Stockholms sjukvårdsregion,Sweden
3267,Samir El Alaoui,Stockholm County Council,Stockholm County,Sweden
3268,Samir El Alaoui,Stockholm County Council,Stockholms sjukvårdsregion,Sweden
3269,Maria Furberg,Västerbotten County Counsil,Västerbotten County,Sweden
3270,Maria Furberg,Västerbotten County Counsil,Northern healthcare region,Sweden
3271,Carina Persson,Örebro County Council,Örebro County,Sweden
3272,Carina Persson,Örebro County Council,Uppsala-Örebro Healthcare Region,Sweden
3273,Johan Sterte,Växjö University,Växjö Municipality,Sweden
3274,Emil Uddhammar,Växjö University,Växjö Municipality,Sweden
3275,Christian Colldén,Sahlgrenska University Hospital,Gothenburg,Sweden
3276,Christian Colldén,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3277,Helene Norder,Sahlgrenska University Hospital,Gothenburg,Sweden
3278,Helene Norder,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3279,Martin Olsson,Sahlgrenska University Hospital,Gothenburg,Sweden
3280,Martin Olsson,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3281,Johanna Wennerblom,Sahlgrenska University Hospital,Gothenburg,Sweden
3282,Johanna Wennerblom,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3283,Susanne Ljungman,Sahlgrenska University Hospital,Gothenburg,Sweden
3284,Susanne Ljungman,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3285,Magnus C Johansson,Sahlgrenska University Hospital,Gothenburg,Sweden
3286,Magnus C Johansson,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3287,Åsa Lindgren,Sahlgrenska University Hospital,Gothenburg,Sweden
3288,Åsa Lindgren,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3289,Jonas Brisman,Sahlgrenska University Hospital,Gothenburg,Sweden
3290,Jonas Brisman,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3291,Maria Wallin,Sahlgrenska University Hospital,Gothenburg,Sweden
3292,Maria Wallin,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3293,Gunilla Wastensson,Sahlgrenska University Hospital,Gothenburg,Sweden
3294,Gunilla Wastensson,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3295,Lars Rosengren,Sahlgrenska University Hospital,Gothenburg,Sweden
3296,Lars Rosengren,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3297,Peter Jacobson,Sahlgrenska University Hospital,Gothenburg,Sweden
3298,Peter Jacobson,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3299,Clas Malmeström,Sahlgrenska University Hospital,Gothenburg,Sweden
3300,Clas Malmeström,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3301,Bengt Skoog,Sahlgrenska University Hospital,Gothenburg,Sweden
3302,Bengt Skoog,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3303,Gerdt C Riise,Sahlgrenska University Hospital,Gothenburg,Sweden
3304,Gerdt C Riise,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3305,Tomas Bergström,Sahlgrenska University Hospital,Gothenburg,Sweden
3306,Tomas Bergström,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3307,Malin C Erlandsson,Sahlgrenska University Hospital,Gothenburg,Sweden
3308,Malin C Erlandsson,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3309,Bob Olsson,Sahlgrenska University Hospital,Gothenburg,Sweden
3310,Bob Olsson,Sahlgrenska University Hospital,Västra Götaland Regional Council,Sweden
3311,Chandan Roy,Rajshahi University,Rajshahi,Bangladesh
3312,Karin Hansson,Royal Institute of Art,Stockholm Municipality,Sweden
3313,K.G. Nilson,Royal Institute of Art,Stockholm Municipality,Sweden
3314,Julian Macoveanu,Rigshospitalet,Copenhagen Municipality,Denmark
3315,Julian Macoveanu,Rigshospitalet,Copenhagen Municipality,Denmark
3316,Camilla Scheele,Rigshospitalet,Copenhagen Municipality,Denmark
3317,Julian Macoveanu,Rigshospitalet,Copenhagen Municipality,Denmark
3318,Camilla Scheele,Rigshospitalet,Copenhagen Municipality,Denmark
3319,Ingrid Poulsen,Rigshospitalet,Copenhagen Municipality,Denmark
3320,Pernilla Omérov,Ersta Sköndal University College,Stockholm Municipality,Sweden
3321,Karin Markenroth Bloch,Hvidovre Hospital,Hvidovre Municipality,Denmark
3322,Morten Tange Kristensen,Hvidovre Hospital,Hvidovre Municipality,Denmark
3323,Torsten Wiesel,The Rockefeller University,Manhattan,United States of America
3324,Hüseyin Uysal,Çanakkale Onsekiz Mart University,Çanakkale,Turkey
3325,Bengt Hallstedt,RWTH Aachen University,Aachen,Germany
3326,Maoping Pu,RWTH Aachen University,Aachen,Germany
3327,Leonid Pourovskii,École Polytechnique,Palaiseau,France
3328,Kathrin H Hopmann,University of Tromsø – The Arctic University of Norway,Tromsø municipality,Norway
3329,Q72818970,University of Tromsø – The Arctic University of Norway,Tromsø municipality,Norway
3330,Ilona Urbarova,University of Tromsø – The Arctic University of Norway,Tromsø municipality,Norway
3331,Arvid Anseth,University of Tromsø – The Arctic University of Norway,Tromsø municipality,Norway
3332,Bjarne Bjorvatn,University of Tromsø – The Arctic University of Norway,Tromsø municipality,Norway
3333,Bertil H. van Boer,Western Washington University,Bellingham,United States of America
3334,Jichen Bao,Aalto University,Otaniemi,Finland
3335,Vilgailė Dagytė,Aalto University,Otaniemi,Finland
3336,Vancho Kocevski,Northwestern University,Illinois,United States of America
3337,Marco Gallio,Northwestern University,Illinois,United States of America
3338,Claes Fornell,Northwestern University,Illinois,United States of America
3339,E. Bergeaas Kuutmann,DESY,Hamburg,Germany
3340,Nils-Lennart Johannesson,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3341,Q50768461,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3342,Sigurd Bergmann,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3343,Arvid Anseth,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3344,Viveka Hagnell,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3345,Johan Herman Lie Vogt,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3346,Sigurd Bergmann,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3347,Olav Gjærevoll,Norwegian University of Science and Technology,Trondheim Municipality,Norway
3348,Marc-Antoine Sani,University of Melbourne,Melbourne,Australia
3349,Helen Haines,University of Melbourne,Melbourne,Australia
3350,Bertil H. van Boer,Brigham Young University,Provo,United States of America
3351,Arthur Henry King,Brigham Young University,Provo,United States of America
3352,Claes G. Ryn,Georgetown University,"Washington, D.C.",United States of America
3353,Hinrich Bitter-Suermann,Georgetown University,"Washington, D.C.",United States of America
3354,Anna Maria Hipkiss,University of Gothenburg,Gothenburg Municipality,Sweden
3355,Stefan Dahlberg,University of Gothenburg,Gothenburg Municipality,Sweden
3356,Hanne K Carlsen,University of Gothenburg,Gothenburg Municipality,Sweden
3357,Henry Ohlsson,University of Gothenburg,Gothenburg Municipality,Sweden
3358,Janis Bubenko,University of Gothenburg,Gothenburg Municipality,Sweden
3359,Lars Bäckman,University of Gothenburg,Gothenburg Municipality,Sweden
3360,Tord Palander,University of Gothenburg,Gothenburg Municipality,Sweden
3361,Nina Tahmasebi,University of Gothenburg,Gothenburg Municipality,Sweden
3362,Gergely Katona,University of Gothenburg,Gothenburg Municipality,Sweden
3363,Åke Ingerman,University of Gothenburg,Gothenburg Municipality,Sweden
3364,Johan Dunevall,University of Gothenburg,Gothenburg Municipality,Sweden
3365,Daniel Andersson,University of Gothenburg,Gothenburg Municipality,Sweden
3366,Uno H. Eliasson,University of Gothenburg,Gothenburg Municipality,Sweden
3367,Olof Hanner,University of Gothenburg,Gothenburg Municipality,Sweden
3368,Torleif Härd,University of Gothenburg,Gothenburg Municipality,Sweden
3369,Hans Bjur,University of Gothenburg,Gothenburg Municipality,Sweden
3370,Janis Bubenko,University of Gothenburg,Gothenburg Municipality,Sweden
3371,Pam Fredman,University of Gothenburg,Gothenburg Municipality,Sweden
3372,Einar Stenhagen,University of Gothenburg,Gothenburg Municipality,Sweden
3373,Ingvar Lindgren,University of Gothenburg,Gothenburg Municipality,Sweden
3374,Fredrik Enquist,University of Gothenburg,Gothenburg Municipality,Sweden
3375,Gunnar Svedberg,University of Gothenburg,Gothenburg Municipality,Sweden
3376,Gunnar Harling,University of Gothenburg,Gothenburg Municipality,Sweden
3377,Einar Stenhagen,University of Gothenburg,Gothenburg Municipality,Sweden
3378,Henrik Sandblad,University of Gothenburg,Gothenburg Municipality,Sweden
3379,Sten Rudberg,University of Gothenburg,Gothenburg Municipality,Sweden
3380,Axel Romdahl,University of Gothenburg,Gothenburg Municipality,Sweden
3381,Fredrik Bäckhed,University of Gothenburg,Gothenburg Municipality,Sweden
3382,Kerstin Jacobsson,University of Gothenburg,Gothenburg Municipality,Sweden
3383,Hemming Virgin,University of Gothenburg,Gothenburg Municipality,Sweden
3384,Bo Södersten,University of Gothenburg,Gothenburg Municipality,Sweden
3385,Christer Betsholtz,University of Gothenburg,Gothenburg Municipality,Sweden
3386,Natanael Beckman,University of Gothenburg,Gothenburg Municipality,Sweden
3387,Nils Andrén,University of Gothenburg,Gothenburg Municipality,Sweden
3388,Christina Ramberg,University of Gothenburg,Gothenburg Municipality,Sweden
3389,Martin Lagging,University of Gothenburg,Gothenburg Municipality,Sweden
3390,Nina Tahmasebi,University of Gothenburg,Gothenburg Municipality,Sweden
3391,Hans Linderholm,University of Gothenburg,Gothenburg Municipality,Sweden
3392,Natalija Gerasimčik,University of Gothenburg,Gothenburg Municipality,Sweden
3393,Vitalis Norström,University of Gothenburg,Gothenburg Municipality,Sweden
3394,Bertil Nilsson,University of Gothenburg,Gothenburg Municipality,Sweden
3395,Lars Lönnroth,University of Gothenburg,Gothenburg Municipality,Sweden
3396,Fredrik Bäckhed,University of Gothenburg,Gothenburg Municipality,Sweden
3397,Sepideh Olausson,University of Gothenburg,Gothenburg Municipality,Sweden
3398,Christina Skodras,University of Gothenburg,Gothenburg Municipality,Sweden
3399,Åsa Wettergren,University of Gothenburg,Gothenburg Municipality,Sweden
3400,Hans Bergström,University of Gothenburg,Gothenburg Municipality,Sweden
3401,Tord Palander,University of Gothenburg,Gothenburg Municipality,Sweden
3402,Sigurd Bergmann,University of Gothenburg,Gothenburg Municipality,Sweden
3403,Karl Johan Warburg,University of Gothenburg,Gothenburg Municipality,Sweden
3404,Stina Stenhagen,University of Gothenburg,Gothenburg Municipality,Sweden
3405,Maria Falkenberg,University of Gothenburg,Gothenburg Municipality,Sweden
3406,Hlin Kvartsberg,University of Gothenburg,Gothenburg Municipality,Sweden
3407,Agneta Ranerup,University of Gothenburg,Gothenburg Municipality,Sweden
3408,Zareen Abbas,University of Gothenburg,Gothenburg Municipality,Sweden
3409,Cecilia Geijer,University of Gothenburg,Gothenburg Municipality,Sweden
3410,Caroline Wasén,University of Gothenburg,Gothenburg Municipality,Sweden
3411,Caroline B Adiels,University of Gothenburg,Gothenburg Municipality,Sweden
3412,Dick Kasperowski,University of Gothenburg,Gothenburg Municipality,Sweden
3413,Gustaf Nelhans,University of Gothenburg,Gothenburg Municipality,Sweden
3414,Marisa Ponti,University of Gothenburg,Gothenburg Municipality,Sweden
3415,Helena Lindholm Schulz,University of Gothenburg,Gothenburg Municipality,Sweden
3416,Stefan Öberg,University of Gothenburg,Gothenburg Municipality,Sweden
3417,Auður Magnúsdóttir,University of Gothenburg,Gothenburg Municipality,Sweden
3418,Annika Lantz-Andersson,University of Gothenburg,Gothenburg Municipality,Sweden
3419,Anna Wahlin,University of Gothenburg,Gothenburg Municipality,Sweden
3420,Tarja Karlsson Häikiö,University of Gothenburg,Gothenburg Municipality,Sweden
3421,Adam Ulfsbo,University of Gothenburg,Gothenburg Municipality,Sweden
3422,Staffan I. Lindberg,University of Gothenburg,Gothenburg Municipality,Sweden
3423,Karl Erik Bergsten,University of Gothenburg,Gothenburg Municipality,Sweden
3424,Lars-Göran Malmberg,University of Gothenburg,Gothenburg Municipality,Sweden
3425,Märta Åsdahl Holmberg,University of Gothenburg,Gothenburg Municipality,Sweden
3426,Jan Lötvall,University of Gothenburg,Gothenburg Municipality,Sweden
3427,Ulf Molau,University of Gothenburg,Gothenburg Municipality,Sweden
3428,Rolf Wolff,University of Gothenburg,Gothenburg Municipality,Sweden
3429,Ulf Söderberg,University of Gothenburg,Gothenburg Municipality,Sweden
3430,Gunno Palmquist,University of Gothenburg,Gothenburg Municipality,Sweden
3431,Stefan Nilsson,University of Gothenburg,Gothenburg Municipality,Sweden
3432,Johan Lybeck,University of Gothenburg,Gothenburg Municipality,Sweden
3433,Sven-Eric Liedman,University of Gothenburg,Gothenburg Municipality,Sweden
3434,Johannes Landgren,University of Gothenburg,Gothenburg Municipality,Sweden
3435,Jan-Eric Gustafsson,University of Gothenburg,Gothenburg Municipality,Sweden
3436,Claes Gustafsson,University of Gothenburg,Gothenburg Municipality,Sweden
3437,Gunnar D Hansson,University of Gothenburg,Gothenburg Municipality,Sweden
3438,Osborne Bartley,University of Gothenburg,Gothenburg Municipality,Sweden
3439,Agnes Wold,University of Gothenburg,Gothenburg Municipality,Sweden
3440,Kerstin Nordenstam,University of Gothenburg,Gothenburg Municipality,Sweden
3441,Gunnel Swedner,University of Gothenburg,Gothenburg Municipality,Sweden
3442,Gunhild Kyle,University of Gothenburg,Gothenburg Municipality,Sweden
3443,Anita Hansbo,University of Gothenburg,Gothenburg Municipality,Sweden
3444,Eva Gothlin,University of Gothenburg,Gothenburg Municipality,Sweden
3445,Marie Demker,University of Gothenburg,Gothenburg Municipality,Sweden
3446,Nina Björk,University of Gothenburg,Gothenburg Municipality,Sweden
3447,Aant Elzinga,University of Gothenburg,Gothenburg Municipality,Sweden
3448,Östen Dahl,University of Gothenburg,Gothenburg Municipality,Sweden
3449,Jörgen Lehmann,University of Gothenburg,Gothenburg Municipality,Sweden
3450,Erik Lönnroth,University of Gothenburg,Gothenburg Municipality,Sweden
3451,Per Lindström,University of Gothenburg,Gothenburg Municipality,Sweden
3452,Ingemar Düring,University of Gothenburg,Gothenburg Municipality,Sweden
3453,Uno H. Eliasson,University of Gothenburg,Gothenburg Municipality,Sweden
3454,Tomas Riad,University of Gothenburg,Gothenburg Municipality,Sweden
3455,Herman Wold,University of Gothenburg,Gothenburg Municipality,Sweden
3456,Ingvar Lindgren,University of Gothenburg,Gothenburg Municipality,Sweden
3457,Otto Lagercrantz,University of Gothenburg,Gothenburg Municipality,Sweden
3458,Lars Werkö,University of Gothenburg,Gothenburg Municipality,Sweden
3459,Alvar Svanborg,University of Gothenburg,Gothenburg Municipality,Sweden
3460,Daniel Andersson,University of Gothenburg,Gothenburg Municipality,Sweden
3461,Mikael Molin,University of Gothenburg,Gothenburg Municipality,Sweden
3462,Per Binde,University of Gothenburg,Gothenburg Municipality,Sweden
3463,Erik Odhagen,University of Gothenburg,Gothenburg Municipality,Sweden
3464,Robert G Björk,University of Gothenburg,Gothenburg Municipality,Sweden
3465,Tobias Skillbäck,University of Gothenburg,Gothenburg Municipality,Sweden
3466,Karin Ekström,University of Gothenburg,Gothenburg Municipality,Sweden
3467,G Hellgren,University of Gothenburg,Gothenburg Municipality,Sweden
3468,Ulla Dinger,University of Gothenburg,Gothenburg Municipality,Sweden
3469,Olof Wärneryd,University of Gothenburg,Gothenburg Municipality,Sweden
3470,Allison Perrigo,University of Gothenburg,Gothenburg Municipality,Sweden
3471,Björn Malmgren,University of Gothenburg,Gothenburg Municipality,Sweden
3472,Thomas Lundqvist,University of Gothenburg,Gothenburg Municipality,Sweden
3473,Kjell Härnqvist,University of Gothenburg,Gothenburg Municipality,Sweden
3474,Göran Goldkuhl,University of Gothenburg,Gothenburg Municipality,Sweden
3475,Hans Davidsson,University of Gothenburg,Gothenburg Municipality,Sweden
3476,Sture Allén,University of Gothenburg,Gothenburg Municipality,Sweden
3477,Bo Ralph,University of Gothenburg,Gothenburg Municipality,Sweden
3478,Nils Brunsson,University of Gothenburg,Gothenburg Municipality,Sweden
3479,Lotta Lotass,University of Gothenburg,Gothenburg Municipality,Sweden
3480,Cecilia Malmström,University of Gothenburg,Gothenburg Municipality,Sweden
3481,Hinrich Bitter-Suermann,University of Gothenburg,Gothenburg Municipality,Sweden
3482,Rikard Warlenius,University of Gothenburg,Gothenburg Municipality,Sweden
3483,Dennis Töllborg,University of Gothenburg,Gothenburg Municipality,Sweden
3484,Otto Sylwan,University of Gothenburg,Gothenburg Municipality,Sweden
3485,Yvonne Hirdman,University of Gothenburg,Gothenburg Municipality,Sweden
3486,Jayesh Pandya,University of Gothenburg,Gothenburg Municipality,Sweden
3487,Gunnar Bjursell,University of Gothenburg,Gothenburg Municipality,Sweden
3488,Tomas Lindahl,University of Gothenburg,Gothenburg Municipality,Sweden
3489,Henrik Sjögren,University of Gothenburg,Gothenburg Municipality,Sweden
3490,Sven Ivar Seldinger,University of Gothenburg,Gothenburg Municipality,Sweden
3491,Örjan Ouchterlony,University of Gothenburg,Gothenburg Municipality,Sweden
3492,Håkan Gustafsson,University of Gothenburg,Gothenburg Municipality,Sweden
3493,Sigurd Bergmann,University of Gothenburg,Gothenburg Municipality,Sweden
3494,Mikael Andersson,University of Gothenburg,Gothenburg Municipality,Sweden
3495,Lars Baltzer,University of Gothenburg,Gothenburg Municipality,Sweden
3496,Ulla Eriksson-Zetterquist,University of Gothenburg,Gothenburg Municipality,Sweden
3497,Susanna Radovic,University of Gothenburg,Gothenburg Municipality,Sweden
3498,Curt Roslund,University of Gothenburg,Gothenburg Municipality,Sweden
3499,Johan Vising,University of Gothenburg,Gothenburg Municipality,Sweden
3500,Bo Södersten,University of Gothenburg,Gothenburg Municipality,Sweden
3501,Carl Lagercrantz,University of Gothenburg,Gothenburg Municipality,Sweden
3502,Efraim Liljequist,University of Gothenburg,Gothenburg Municipality,Sweden
3503,Stefan Lindskog,University of Gothenburg,Gothenburg Municipality,Sweden
3504,Sven-Eric Liedman,University of Gothenburg,Gothenburg Municipality,Sweden
3505,Martin Jönsson,University of Gothenburg,Gothenburg Municipality,Sweden
3506,Thomas Johansson,University of Gothenburg,Gothenburg Municipality,Sweden
3507,Malte Jacobsson,University of Gothenburg,Gothenburg Municipality,Sweden
3508,Gustaf Åkerman,University of Gothenburg,Gothenburg Municipality,Sweden
3509,Elisabet Ahlberg,University of Gothenburg,Gothenburg Municipality,Sweden
3510,Yiyi Xu,University of Gothenburg,Gothenburg Municipality,Sweden
3511,Davide Angeletti,University of Gothenburg,Gothenburg Municipality,Sweden
3512,Göran Larsson,University of Gothenburg,Gothenburg Municipality,Sweden
3513,Susanne P. Baden,University of Gothenburg,Gothenburg Municipality,Sweden
3514,Ragnar Hultborn,University of Gothenburg,Gothenburg Municipality,Sweden
3515,Kristina Berglund,University of Gothenburg,Gothenburg Municipality,Sweden
3516,Tomas Tjus,University of Gothenburg,Gothenburg Municipality,Sweden
3517,Teresa Lagergård,University of Gothenburg,Gothenburg Municipality,Sweden
3518,Furqan A. Shah,University of Gothenburg,Gothenburg Municipality,Sweden
3519,Tomas Bergström,University of Gothenburg,Gothenburg Municipality,Sweden
3520,Malin C Erlandsson,University of Gothenburg,Gothenburg Municipality,Sweden
3521,Elisabet Sjökvist,University of Gothenburg,Gothenburg Municipality,Sweden
3522,Ellen Larsson,University of Gothenburg,Gothenburg Municipality,Sweden
3523,Thomas G. Dahlgren,University of Gothenburg,Gothenburg Municipality,Sweden
3524,Anna Wåhlin,University of Gothenburg,Gothenburg Municipality,Sweden
3525,Beata Losman,University of Gothenburg,Gothenburg Municipality,Sweden
3526,Thomas Sterner,University of Gothenburg,Gothenburg Municipality,Sweden
3527,Mats Brännström,University of Gothenburg,Gothenburg Municipality,Sweden
3528,Christopher Kullenberg,University of Gothenburg,Gothenburg Municipality,Sweden
3529,Lotta Westerhäll,University of Gothenburg,Gothenburg Municipality,Sweden
3530,Anders Enemar,University of Gothenburg,Gothenburg Municipality,Sweden
3531,Per Delsing,University of Gothenburg,Gothenburg Municipality,Sweden
3532,Rudolf Kjellén,University of Gothenburg,Gothenburg Municipality,Sweden
3533,Otto Nordenskjöld,University of Gothenburg,Gothenburg Municipality,Sweden
3534,Bernhard Karlgren,University of Gothenburg,Gothenburg Municipality,Sweden
3535,Rickard Sandler,University of Gothenburg,Gothenburg Municipality,Sweden
3536,Lisbeth Larsson,University of Gothenburg,Gothenburg Municipality,Sweden
3537,Gunilla Florby,University of Gothenburg,Gothenburg Municipality,Sweden
3538,Bo Rothstein,University of Gothenburg,Gothenburg Municipality,Sweden
3539,Gustaf Åkerman,University of Gothenburg,Gothenburg Municipality,Sweden
3540,Erik Lindahl,University of Gothenburg,Gothenburg Municipality,Sweden
3541,Göran Therborn,University of Gothenburg,Gothenburg Municipality,Sweden
3542,Arvid Carlsson,University of Gothenburg,Gothenburg Municipality,Sweden
3543,Per-Ingvar Brånemark,University of Gothenburg,Gothenburg Municipality,Sweden
3544,Bo Reicke,University of Basel,Basel,Switzerland
3545,Bo Reicke,University of Basel,Basel,Switzerland
3546,Amy Marjorie Dale,"Birkbeck, University of London",London Borough of Camden,United Kingdom
3547,David Silvermyr,Los Alamos National Laboratory,Los Alamos County,United States of America
3548,Juha Merilä,University of British Columbia,British Columbia,Canada
3549,Clayton Oscar Person,University of British Columbia,British Columbia,Canada
3550,Doris Löve,Université de Montréal,Montreal,Canada
3551,Áskell Löve,Université de Montréal,Montreal,Canada
3552,Juha Merilä,Academy of Finland,Helsinki,Finland
3553,Aeschillus Petraeus,Royal Academy of Turku,Turku,Finland
3554,Johan Haartman,Royal Academy of Turku,Turku,Finland
3555,Sven Dimborg,Royal Academy of Turku,Turku,Finland
3556,Elias Tillandz,Royal Academy of Turku,Turku,Finland
3557,Anders Chydenius,Royal Academy of Turku,Turku,Finland
3558,Frans Michael Franzén,Royal Academy of Turku,Turku,Finland
3559,Johan Gadolin,Royal Academy of Turku,Turku,Finland
3560,Andreas Tolf,Uppsala University Hospital,Uppsala Municipality,Sweden
3561,Thomas Kempen,Uppsala University Hospital,Uppsala Municipality,Sweden
3562,Jonas Eriksson,Uppsala University Hospital,Uppsala Municipality,Sweden
3563,Gösta Rooth,Uppsala University Hospital,Uppsala Municipality,Sweden
3564,Anna-Karin Wikström,Uppsala University Hospital,Uppsala Municipality,Sweden
3565,Henrik Reinius,Uppsala University Hospital,Uppsala Municipality,Sweden
3566,Brian Harold Mason,University of Canterbury,Christchurch City,New Zealand
3567,Mary Ellsberg,George Washington University,Loudoun County,United States of America
3568,Mary Ellsberg,George Washington University,Foggy Bottom,United States of America
3569,Mary Ellsberg,George Washington University,Foxhall,United States of America
3570,Annika Keller,University Hospital Zurich,Zürich,Switzerland
3571,Annika Keller,University Hospital Zurich,canton of Zürich,Switzerland
