,alumnus,place,country,university
237,Lena Adelsohn Liljeroth,Spånga-Kista församling,Sweden,Stockholm University
238,Beatrice Ask,Sveg,Sweden,Uppsala University
239,Örjan Ouchterlony,Stockholm,Sweden,Karolinska Institute
240,Örjan Wikander,Helsingborg,Sweden,Lund University
241,Arvid Carlsson,Uppsala,Sweden,Lund University
242,Östen Bergstrand,Stockholm,Sweden,Uppsala University
243,Östen Undén,Karlstad,Sweden,Lund University
244,Östen Undén,Karlstad,Sweden,Uppsala University
245,Öyvind Fahlström,São Paulo,Brazil,Stockholm University
246,Per Olov Enquist,Hjoggböle,Sweden,Uppsala University
247,Johannes Rydberg,Halmstad,Sweden,Lund University
248,Gunnar Asplund,Stockholm,Sweden,Royal Institute of Technology
249,Oscar Montelius,Maria Magdalena parish,Sweden,Uppsala University
250,Carl Michael Bellman,Maria Magdalena parish,Sweden,Uppsala University
251,Johan Gadolin,Turku,Finland,Uppsala University
252,Herbert Blomstedt,Springfield,United States of America,Uppsala University
253,Johan August Arfwedson,Finnerödja,Sweden,Uppsala University
254,Helge von Koch,Stockholm,Sweden,Stockholm University
255,Helge von Koch,Stockholm,Sweden,Uppsala University
256,José González,Gothenburg,Sweden,University of Gothenburg
257,K. G. Hammar,Hässleholm,Sweden,Lund University
258,Lars Lagerbäck,Katrineholm,Sweden,Umeå University
259,Torsten Persson,Stockholm,Sweden,Stockholm University
260,Carl Jonas Love Almqvist,Adolf Fredriks parish,Sweden,Uppsala University
261,Christer Fuglesang,Nacka,Sweden,Royal Institute of Technology
262,Christer Fuglesang,Nacka,Sweden,Stockholm University
263,Hugo Alfvén,Stockholm,Sweden,Uppsala University
264,Pär Nuder,Täby,Sweden,Stockholm University
265,Fredrik Ferdinand Carlson,Alsike parish,Sweden,Uppsala University
266,Clas Bjerkander,Sweden,Sweden,Uppsala University
267,Martin P. Nilsson,Stoby församling,Sweden,Lund University
268,Karl Gustav Jöreskog,Åmål,Sweden,Uppsala University
269,Daniel Birnbaum,Stockholm,Sweden,Stockholm University
270,Per Engdahl,Jönköping,Sweden,Uppsala University
271,"Prince Eugen, Duke of Närke",Drottningholm Palace,Sweden,Uppsala University
272,Erik Axelsson Oxenstierna,Fiholm Castle,Sweden,Uppsala University
273,Abraham Constantin Mouradgea d’Ohsson,Istanbul,Turkey,Uppsala University
274,Erik Edlund,Edsbergs parish,Sweden,Uppsala University
275,Gustav Zander,Stockholm,Sweden,Karolinska Institute
276,Gustav Zander,Stockholm,Sweden,Uppsala University
277,Gottfrid Billing,Önnestad parish,Sweden,Lund University
278,Einar Billing,Lunds Cathedral Assembly,Sweden,Uppsala University
279,Sigfrid Siwertz,Klara Parish,Sweden,Uppsala University
280,Hjalmar Söderberg,Stockholm,Sweden,Uppsala University
281,Fredrik Lindström,Eskilstuna,Sweden,Uppsala University
282,Frans Michael Franzén,Oulu,Finland,Uppsala University
283,Lars Hörmander,Mjällby,Sweden,Lund University
284,Þórarinn Eldjárn,Reykjavík,Iceland,Lund University
285,Torsten Hägerstrand,Alvesta Municipality,Sweden,Lund University
286,Lennart Carleson,Stockholm,Sweden,Uppsala University
287,Johnny Roosval,Kalmar domkyrkoförsamling,Sweden,Uppsala University
288,Rolf Maximilian Sievert,Stockholm,Sweden,Royal Institute of Technology
289,Rolf Maximilian Sievert,Stockholm,Sweden,Karolinska Institute
290,Rolf Maximilian Sievert,Stockholm,Sweden,Uppsala University
291,Carl Adolph Agardh,Båstads parish,Sweden,Lund University
292,Carl August Hagberg,Lund,Sweden,Uppsala University
293,"Prince Gustaf Adolf, Duke of Västerbotten",Stockholm Palace,Sweden,Uppsala University
294,Peter Englund,Boden,Sweden,Uppsala University
295,Stan Hasselgård,Sundsvall,Sweden,Uppsala University
296,Sigfridus Aronus Forsius,Finland,Finland,Uppsala University
297,Olaus Rudbeck,Västerås domkyrkoförsamling,Sweden,Uppsala University
298,Adam Ludwig Lewenhaupt,Copenhagen,Denmark,Lund University
299,Adam Ludwig Lewenhaupt,Copenhagen,Denmark,Uppsala University
300,Walter Gordon,Apolda,Germany,Stockholm University
301,Carl Wilhelm Scheele,Stralsund,Germany,Uppsala University
302,Heinz Leymann,Wolfenbüttel,Germany,Umeå University
303,Heinz Leymann,Wolfenbüttel,Germany,Stockholm University
304,Johann Gottlieb Georgi,Landkreis Greifenberg i. Pom.,Prussia,Uppsala University
305,Svante August Arrhenius,Balingsta parish,Sweden,Stockholm University
306,Svante August Arrhenius,Balingsta parish,Sweden,Uppsala University
307,Anders Celsius,Uppsala,Sweden,Uppsala University
308,Niklas Zennström,Järfälla Municipality,Sweden,Uppsala University
309,Johan Håstad,Sweden,Sweden,Stockholm University
310,Johan Håstad,Sweden,Sweden,Uppsala University
311,Ivar Jacobson,Ystad,Sweden,Royal Institute of Technology
312,Ivar Jacobson,Ystad,Sweden,Chalmers University of Technology
313,Pär Lagerkvist,Växjö,Sweden,Uppsala University
314,Erwin Leiser,Berlin,Germany,Lund University
315,Hinrich Bitter-Suermann,Berlin,Germany,University of Gothenburg
316,Germain Henri Hess,Geneva,Switzerland,Stockholm University
317,Vilgot Sjöman,Stockholm,Sweden,Stockholm University
318,Gustaf af Wetterstedt,Vaasa,Finland,Uppsala University
319,Stefan Meierhans,Altstätten,Switzerland,Uppsala University
320,Eva Brunne,Malmö,Sweden,Lund University
321,Annemarie Huber-Hotz,Baar,Switzerland,Uppsala University
322,Jonas Hafström,Stockholm,Sweden,Lund University
323,Peter Egardt,Lund,Sweden,Lund University
324,Arno Berg,Gothenburg,Sweden,Royal Institute of Technology
325,Erik Axel Karlfeldt,Folkärna,Sweden,Uppsala University
326,Paul Jozef Crutzen,Amsterdam,Netherlands,Stockholm University
327,André Myhrer,Bergsjö,Sweden,Mid Sweden University
328,Cyrillus Johansson,Gävle,Sweden,Chalmers University of Technology
329,Jöns Jacob Berzelius,Väversunda församling,Sweden,Uppsala University
