,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
2433,Samuel Gustaf Hermelin,Stockholm,Sweden,Uppsala University
2434,Sture Linnér,Solna Municipality,Sweden,Uppsala University
2435,Aron Modig,Söderhamn,Sweden,University of Gothenburg
2436,Sven Otto Littorin,Skänninge,Sweden,Lund University
2437,Sven Magnus Aurivillius,Stockholm,Sweden,Stockholm University
2438,Sven Magnus Aurivillius,Stockholm,Sweden,Uppsala University
2439,Anders Leijonstedt,Uppsala,Sweden,Uppsala University
2440,Maria Arnholm,Partille,Sweden,Stockholm University
2441,Rasmus Myrgren,Lindome,Sweden,Chalmers University of Technology
2442,Anders Sandberg,Solna Municipality,Sweden,Stockholm University
2443,Anna-Karin Hatt,Gryteryds socken,Sweden,University of Gothenburg
2444,Karl Vilhelm Zetterstéen,Orsa,Sweden,Uppsala University
2445,Ulf Grenander,Västervik,Sweden,Stockholm University
2446,Ulf Grenander,Västervik,Sweden,Uppsala University
2447,Erik Hägglund,Hässjö församling,Sweden,Stockholm University
2448,Carl Axel Petri,Ronneby,Sweden,Lund University
2449,Carl Fredrik af Wingård,Stockholm,Sweden,Uppsala University
2450,Dag Norberg,Strängnäs,Sweden,Uppsala University
2451,Olav Kallenberg,Stockholm,Sweden,Royal Institute of Technology
2452,Olav Kallenberg,Stockholm,Sweden,Chalmers University of Technology
2453,Erik Jorpes,Kökar,Finland,Karolinska Institute
2454,Bengt Skytte,Storkyrkoförsamlingen,Sweden,Uppsala University
2455,Sune Ambrosiani,Solna,Sweden,Uppsala University
2456,Jacob Adlerbeth,Stockholm City,Sweden,Uppsala University
2457,Johann Jacob Ferber,Karlskrona city community,Sweden,Uppsala University
2458,Johannes Canuti Lenaeus,Lena församling,Sweden,Uppsala University
2459,Petra Mede,Stockholm,Sweden,Stockholm University
2460,Petra Mede,Högalid Parish,Sweden,Stockholm University
2461,Arthur Baur,Zürich,Switzerland,Stockholm University
2462,Arthur Baur,Zürich,Switzerland,Uppsala University
2463,Karl-Henrik Robèrt,Stockholm,Sweden,Karolinska Institute
2464,Knut H.M. Haeger,Malmö,Sweden,Lund University
2465,Lars Rambe,Täby,Sweden,Uppsala University
2466,Leif Yttergren,Stockholm,Sweden,Stockholm University
2467,Ulf Kvensler,Ronneby,Sweden,Uppsala University
2468,Lars Kylberg,Gävle,Sweden,Chalmers University of Technology
2469,Bo Källstrand,Västerås,Sweden,Royal Institute of Technology
2470,Anders Kämpe,Sollentuna Municipality,Sweden,Royal Institute of Technology
2471,Adam Otto Lagerberg,Stockholm,Sweden,Uppsala University
2472,Gustaf Lagerbring,Järlåsa församling,Sweden,Uppsala University
2473,Otto Lagercrantz,Näsby församling,Sweden,Uppsala University
2474,Gustaf Adolf Lagerfelt,Lagerlunda,Sweden,Uppsala University
2475,Nils Gustaf von Lagerheim,Stockholm,Sweden,Uppsala University
2476,Elias Lagerheim,Ågesta (manor),Sweden,Lund University
2477,Lars Magnus Lagerheim,Lund,Sweden,Lund University
2478,Petrus Lagerlöf,Sunne församling,Sweden,Uppsala University
2479,Ole Lamm,Gothenburg,Sweden,Uppsala University
2480,Oscar Lamm,Stockholm,Sweden,Royal Institute of Technology
2481,Oscar Lamm,Stockholm,Sweden,Uppsala University
2482,Aasulv Lande,Lauvdal,Norway,Uppsala University
2483,Bengt Landgren,Torsås församling,Sweden,Uppsala University
2484,Karl Georg Herman Lang,Malmö S:t Pauli församling,Sweden,Lund University
2485,Emrik Larsson,Mölndal,Sweden,University of Gothenburg
2486,Jacob Larsson,Lund,Sweden,Lund University
2487,Kjell Larsson,Gothenburg,Sweden,University of Gothenburg
2488,Mauritz Larsson,Stockholm,Sweden,Royal Institute of Technology
2489,Staffan Larsson,Gäddede,Sweden,Uppsala University
2490,Staffan Larsson,Gäddede,Sweden,University of Gothenburg
2491,Yngve A. A. Larsson,Stockholm,Sweden,Karolinska Institute
2492,Yngve A. A. Larsson,Stockholm,Sweden,Uppsala University
2493,Gunnar Larsson-Leander,Bollnäs,Sweden,Stockholm University
2494,Torvard C. Laurent,S:t Görans församling,Sweden,Karolinska Institute
2495,Hakon Leffler,Gothenburg,Sweden,Royal Institute of Technology
2496,Hakon Leffler,Gothenburg,Sweden,Uppsala University
2497,Mats Leijon,Karlskrona Municipality,Sweden,Chalmers University of Technology
2498,Abraham Gustafsson Leijonhufvud,Hökerum,Sweden,Uppsala University
2499,Augustin Leijonsköld,Stockholm,Sweden,Uppsala University
2500,Urban Lendahl,Stockholm,Sweden,Stockholm University
